id,cipher_name,cipher_security
0,TLS_NULL_WITH_NULL_NULL,insecure
1,TLS_RSA_WITH_NULL_MD5,insecure
2,TLS_RSA_WITH_NULL_SHA,insecure
3,TLS_RSA_EXPORT_WITH_RC4_40_MD5,insecure
4,TLS_RSA_WITH_RC4_128_MD5,insecure
5,TLS_RSA_WITH_RC4_128_SHA,insecure
6,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,insecure
7,TLS_RSA_WITH_IDEA_CBC_SHA,insecure
8,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,insecure
9,TLS_RSA_WITH_DES_CBC_SHA,insecure
10,TLS_RSA_WITH_3DES_EDE_CBC_SHA,insecure
11,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,insecure
12,TLS_DH_DSS_WITH_DES_CBC_SHA,insecure
13,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,insecure
14,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,insecure
15,TLS_DH_RSA_WITH_DES_CBC_SHA,insecure
16,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,insecure
17,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,insecure
18,TLS_DHE_DSS_WITH_DES_CBC_SHA,insecure
19,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,insecure
20,TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,insecure
21,TLS_DHE_RSA_WITH_DES_CBC_SHA,insecure
22,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,insecure
23,TLS_DH_anon_EXPORT_WITH_RC4_40_MD5,insecure
24,TLS_DH_anon_WITH_RC4_128_MD5,insecure
25,TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA,insecure
26,TLS_DH_anon_WITH_DES_CBC_SHA,insecure
27,TLS_DH_anon_WITH_3DES_EDE_CBC_SHA,insecure
30,TLS_KRB5_WITH_DES_CBC_SHA,insecure
31,TLS_KRB5_WITH_3DES_EDE_CBC_SHA,insecure
32,TLS_KRB5_WITH_RC4_128_SHA,insecure
33,TLS_KRB5_WITH_IDEA_CBC_SHA,insecure
34,TLS_KRB5_WITH_DES_CBC_MD5,insecure
35,TLS_KRB5_WITH_3DES_EDE_CBC_MD5,insecure
36,TLS_KRB5_WITH_RC4_128_MD5,insecure
37,TLS_KRB5_WITH_IDEA_CBC_MD5,insecure
38,TLS_KRB5_EXPORT_WITH_DES_CBC_40_SHA,insecure
39,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_SHA,insecure
40,TLS_KRB5_EXPORT_WITH_RC4_40_SHA,insecure
41,TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5,insecure
42,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5,insecure
43,TLS_KRB5_EXPORT_WITH_RC4_40_MD5,insecure
44,TLS_PSK_WITH_NULL_SHA,insecure
45,TLS_DHE_PSK_WITH_NULL_SHA,insecure
46,TLS_RSA_PSK_WITH_NULL_SHA,insecure
47,TLS_RSA_WITH_AES_128_CBC_SHA,insecure
48,TLS_DH_DSS_WITH_AES_128_CBC_SHA,insecure
49,TLS_DH_RSA_WITH_AES_128_CBC_SHA,insecure
50,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,insecure
51,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,insecure
52,TLS_DH_anon_WITH_AES_128_CBC_SHA,insecure
53,TLS_RSA_WITH_AES_256_CBC_SHA,insecure
54,TLS_DH_DSS_WITH_AES_256_CBC_SHA,insecure
55,TLS_DH_RSA_WITH_AES_256_CBC_SHA,insecure
56,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,insecure
57,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,insecure
58,TLS_DH_anon_WITH_AES_256_CBC_SHA,insecure
59,TLS_RSA_WITH_NULL_SHA256,insecure
60,TLS_RSA_WITH_AES_128_CBC_SHA256,insecure
61,TLS_RSA_WITH_AES_256_CBC_SHA256,insecure
